Questionnaire Code:,"Would you prefer receiving alerts/information/advice(exclusive deals, cashback offers, coupons), if so how?","	Would you like to avail any last minute deals/emergency deals?",        How often do you go to Movies/Sports/Public Events?,        How often do you go to Movies/Sports/Public Events?,How often do you go to Movies/Sports/Public Events?,"Do you prefer having food while in Movies/Sports/Public Events (Concert/Trade Fair)? If yes, what type?","	How much do you mostly spend on a single visit to Movies/Sports/Public Events (concert/trade fair) in Crowns?","	What are the factors considered while staying at a hotel?","	Would you lik to purchase items online, if offered bundle?","	What type of discounts/offers d you look for when you shop online?","	What type of discounts/offers do you look for whe you make MFS transactions?","	What type of discounts/offers do you look for whe you make MFS transactions?","	Do you use internet in your phone?","	What type of internet packages do you use?","	What type of apps do you use on your mobile?","	What type of apps do you use on your mobile?","	What type of apps do you use on your mobile?","What is your monthly Expenditure in Crowns behind mobile phone? (Voice Call, Internet, SMS, Others)","	Do you shop online?","	What kind of products/services do you shop online?","	What kind of products/services do you shop online?","	What kind of products/services do you shop online?","	What is the avg. amount spent per online shopping?","	% of online shopping Basket: Online shopping as a % of total shopping.",What are the most important features that you want in your MFS app?,What are the most important features that you want in your MFS app?,What are the most important features that you want in your MFS app?,"	Do you think you will decrease/stop online shopping in the next year?","If you answer to the previous question is ""Yes""","If you answer to the previous question is ""Yes""","If you answer to the previous question is ""Yes""","If your answer is ""no""","If your answer is ""no""","If your answer is ""no""",Do you think you will start using digital financial services next year?,"If you answer to the previous question is ""Yes"" or ""Maybe""","If you answer to the previous question is ""Yes"" or ""Maybe""","If you answer to the previous question is ""Yes"" or ""Maybe""",What is your preferred MFS to use when shopping online?,"	How would you prefer to get the refund?","	How would you prefer to get the refund?","	How would you prefer to get the refund?","	What is your gender?","	What is your age?",Age Profile,"	What is your profession?","	Which sector are you currently employed in?","	In which industry are you employed?","	What is your marital status?","	Where do you live?",What is your monthly household income?,Econ Profile,"	What type of person do you consider yourself in terms of online shopping?"
340,,,,,,,,,,Cash discounts,Cashback offer,Coupons,Yes,Monthly Limited,WhatsApp,YouTube,,"701 - 1,000",Never,Cloths,Accessories,,"701 - 1,000",51-70%,Easy to use mobile app,,,Maybe,I find the technology difficult and it will not be easier in the future,No option for seat selection,,Cannot trust online transaction,,,No,Attractive discounts,Don't have to travel,,MaxPay,Bank Account,Earning credits for future purchase,,Female,Up to 20 years,iGen,Self-employed,Private - For Profit,Manufacturing,Single with no kid,Nasirabad,"50,001-100,000",Emerging,I think online payment system is not secured yet
341,Sms,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in 6 months,,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",Discount/Offers,"Yes, at a discounted price",Cash discounts,Coupons,,Yes,Monthly unlimited,Facebook,WhatsApp,YouTube,"2,001 - 3,000",Once a month,Cloths,Food,,"701 - 1,000",11-30%,Call center facilities,Higher Transaction Limit,,No,I find the technology difficult and it will not be easier in the future,No option for seat selection,,Can't find what is being looked for,,,Yes,Efficient customer service,,,SnapTap,Earning credits for future purchase,,,Male,21-30 years,Millennials,Student,Own Business,Education,Single with no kid,Panchlaish,"50,001-100,000",Emerging,I think online payment system is not secured yet
342,Phone call,"Yes, but at regular price",Never,Once/twice in a year,Never,I prefer having tea/coffee,"501-1,000",,"Yes, at regular price",Cash discounts,Internet balance top up,,Yes,Monthly Limited,Facebook,WhatsApp,Imo,Up to 500,Never,I don't shop online,,,I don't shop online,51-70%,Easy to use mobile app,More privacy assurance,,Maybe,I am more comfortable visiting physically,I find the payment complicated and it will not be easier in the future,,I purchase online,,,Maybe,Attractive discounts,Can transfer funds between accounts easily,,PayUp,Bank Account,Earning credits for future purchase,,Male,21-30 years,Millennials,Student,Public,Not employed,Single with no kid,Khulshi,"Up to 50,000",Aspirant,I like to explore new things
343,,,,,,,,,,,,,,,,,,,,,,,,I don't shop online,Easy to use mobile app,High Security ,Higher Transaction Limit,Maybe,I am more comfortable visiting physically,,,Cannot trust online transaction,Less option to choose from,,Yes,Don't have to travel,,,MaxPay,Mobile balance top up,,,Female,31-40 years,Gen X,Homemaker,Not Applicable,Not employed,Married with more than 1 kid,Sugandha,"50,001-100,000",Emerging,I use internet mainly for work/business
344,Sms,"Yes, but at regular price",Once/twice in a year,Once/twice in a year,,I prefer having some soft drinks with popcorns/French fries,Up to 500,,No,Cash discounts,,,Yes,Monthly Limited,Facebook,WhatsApp,,"1,001 - 2,000",Once/twice in a year,Cloths,Car/Vehicle,,Up to 500,Up to 10%,Easy to use mobile app,Call center facilities,,Maybe,I am more comfortable visiting physically,,,I purchase online,,,Maybe,Attractive discounts,Don't have to travel,,PayUp,Bank Account,Earning credits for future purchase,,Male,21-30 years,Millennials,Student,Public,Not employed,Single with no kid,Khulshi,"Up to 50,000",Aspirant,I like to explore new things
345,Phone call,"Yes, but at regular price",,,,,,,,,,,,,,,,,,Accessories,,,"2,001 - 3,000",Up to 10%,More privacy assurance,Longer transaction time-out,Easy to use mobile app,No,I am more comfortable visiting physically,Over priced,answer is no,Cannot trust online transaction,Less option to choose from,,No,Easy to make payment/Convenient,,,PayUp,Bank Account,Cash delivered,,Female,31-40 years,Gen X,Employed,Private - For Profit,Financial Institution,Married with more than 1 kid,OR Nizam Road,"200,001-300,000",Affluent,I use internet mainly for work/business
346,Email,"Yes, but at regular price",Once/twice in 6 months,Once/twice in 6 months,,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Vicinity,"Yes, at a discounted price",Cash discounts,Internet balance top up,,At times,Customized,Facebook,WhatsApp,,"1,001 - 2,000",Once/twice in a year,Cloths,,,500 - 700,Up to 10%,Longer transaction time-out,Easy to use mobile app,,Maybe,It’s not safe to transact online,,,I purchase online,Payment is difficult,,No,Attractive discounts,,,Chime,Bank Account,Cash delivered,,Male,21-30 years,Millennials,Student,Not Applicable,Engineer,Single with no kid,Chawk Bazar,"100,001-200,000",Established,I use internet mainly for work/business
347,Phone call,"Yes, but at regular price",Once/twice in 6 months,Once a month,Once a month,I prefer having some light snacks like sandwich,"501-1,000",Discount/Offers,"Yes, at a discounted price",Cash discounts,Cashback offer,,Yes,Monthly Limited,Facebook,WhatsApp,YouTube,"1,001 - 2,000",Once/twice in 6 months,Cloths,Accessories,,"1,001 - 2,000",I don't shop online,Call center facilities,More privacy assurance,Longer transaction time-out,Maybe,I am more comfortable visiting physically,Over priced,answer is no,Cannot trust online transaction,Less option to choose from,,Maybe,Easy to make payment/Convenient,,,PayUp,Bank Account,Cash delivered,,Female,31-40 years,Gen X,Employed,Private - For Profit,Engineer,Single with no kid,Sugandha,"50,001-100,000",Emerging,I think online payment system is not secured yet
348,Sms,,,,,,,,,,,,,,,,,,,Cloths,,,"1,001 - 2,000",11-30%,Easy to use mobile app,Longer transaction time-out,,No,It’s not safe to transact online,,,Payment is difficult,,,Yes,Attractive discounts,Last minute deals,,Chime,Cash delivered,Concession on the next purchase,Earning credits for future purchase,Male,21-30 years,Millennials,Employed,Private - For Profit,Education,Single with no kid,Oxygen,"100,001-200,000",Established,I use internet mainly for work/business
349,Sms,"Yes, at a premium price",Once/twice in 6 months,Once/twice in a year,Once/twice in 6 months,I prefer having tea/coffee,Up to 500,,"Yes, at regular price",Gifts (T-shirt/Mug),,,Yes,Monthly unlimited,Busbd.com,,,Up to 500,Twice a month,Accessories,,,Up to 500,Up to 10%,Easy to use mobile app,Higher Transaction Limit,,Yes,I find the technology difficult and it will not be easier in the future,,,Finds it complicated,Cannot trust online transaction,Love the touch and feel,Yes,Attractive discounts,,,SnapTap,Concession on the next purchase,,,Male,21-30 years,Millennials,Employed,Private - For Profit,Education,Single with no kid,Chawk Bazar,"Up to 50,000",Aspirant,I like to explore new things
350,Sms,"Yes, at a premium price",Once/twice in 6 months,Once/twice in a year,Once a month,I prefer having tea/coffee,Up to 500,,"Yes, at regular price",Gifts (T-shirt/Mug),,,Yes,Monthly unlimited,Facebook,WhatsApp,,Up to 500,Twice a month,Accessories,,,Up to 500,Up to 10%,Easy to use mobile app,Higher Transaction Limit,Chatting services,Yes,Poor customer service,answer is no,,Finds it complicated,Cannot trust online transaction,Love the touch and feel,Yes,Efficient customer service,,,SnapTap,Concession on the next purchase,,,Male,21-30 years,Millennials,Employed,Private - For Profit,Education,Single with no kid,Chawk Bazar,"Up to 50,000",Aspirant,I like to explore new things
351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PayUp,Bank Account,Cash delivered,,Female,31-40 years,Gen X,Employed,Public,Education,Married with more than 1 kid,Sugandha,"100,001-200,000",Established,I think online payment system is not secured yet
352,Sms,"Yes, but at regular price",Once/twice in a year,Never,Once/twice in a year,I prefer having some light snacks like sandwich,Up to 500,,"Yes, at regular price",Gifts (T-shirt/Mug),,,Yes,Monthly unlimited,Facebook,WhatsApp,,Up to 500,Twice a month,Accessories,,,Up to 500,Up to 10%,Easy to use mobile app,Higher Transaction Limit,Chatting services,Yes,I find the technology difficult and it will not be easier in the future,,,Finds it complicated,Love the touch and feel,,Yes,Attractive discounts,,,SnapTap,Concession on the next purchase,,,Male,21-30 years,Millennials,Employed,Private - For Profit,Education,Single with no kid,Khulshi,"Up to 50,000",Aspirant,I like to explore new things
353,,,,,,,,Vicinity,No,Cash discounts,Internet balance top up,,Yes,Monthly Limited,WhatsApp,YouTube,,Up to 500,Once/twice in a year,Accessories,,,500 - 700,Up to 10%,Easy to use mobile app,,,Maybe,Less option to choose from,No bargaining option,answer is no,Finds it complicated,,,No,Efficient customer service,,,SnapTap,Bank Account,Cash delivered,,Female,31-40 years,Gen X,Student,Not Applicable,Not employed,Single with no kid,Khulshi,"50,001-100,000",Emerging,I think online payment system is not secured yet
354,Sms,"Yes, but at regular price",Once/twice in a year,Once a month,Once a month,I prefer having some light snacks like sandwich,Up to 500,,"Yes, at regular price",Cash discounts,,,Yes,Monthly Limited,Facebook,YouTube,,"1,001 - 2,000",Once/twice in a year,Cloths,Accessories,,500 - 700,Up to 10%,Longer transaction time-out,Easy to use mobile app,,Maybe,,,,No option for seat selection,,,No,,,,Chime,Cash delivered,Mobile balance top up,,Male,21-30 years,Millennials,Student,Not Applicable,Engineer,Single with no kid,Chawk Bazar,"50,001-100,000",Emerging,I use internet mainly for socialization
355,Sms,"Yes, but at regular price",Once/twice in a year,Once/twice in a year,,I prefer complementary meal/food service,Up to 500,,No,Cash discounts,,,Yes,Monthly Limited,Facebook,WhatsApp,,Up to 500,More than twice a month,Cloths,Electronic gadgets,,"1,001 - 2,000",31-50%,Easy to use mobile app,,,Yes,I am more comfortable visiting physically,Poor customer service,Poor quality of product/service,Finds it complicated,No bargaining facility,,Maybe,Efficient customer service,,,MaxPay,Bank Account,,,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,Khulshi,"Up to 50,000",Aspirant,I use internet mainly for socialization
356,Sms,"Yes, at a discounted price",More than twice a month,Once/twice in 6 months,,I prefer complementary meal/food service,,,,,,,,,,,,,,,,,,,,,,,No bargaining option,,,Finds it complicated,Poor customer service,,Yes,Attractive discounts,Last minute deals,,Chime,Earning credits for future purchase,,,Male,31-40 years,Gen X,Employed,Private - For Profit,FMCG,Married with 1 kid,Chawk Bazar,"Up to 50,000",Aspirant,I like to explore new things
357,,,,,,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",,"Yes, at regular price",Cash discounts,Gifts (Free tickets/food voucher),Coupons,At times,Monthly Limited,Facebook,WhatsApp,,"701 - 1,000",Never,Car/Vehicle,Food,,"More than 3,000",More than 70%,Easy to use mobile app,Call center facilities,More privacy assurance,Yes,No option for seat selection,,,I purchase online,,,Yes,Efficient customer service,,,Chime,Earning credits for future purchase,,,Male,21-30 years,Millennials,Student,Private - For Profit,Education,Single with no kid,Chawk Bazar,"Up to 50,000",Aspirant,I like to explore new things
358,Phone call,"Yes, but at regular price",More than twice a month,,,I prefer complementary meal/food service,I don't go to movies/sports/events,Complimentary breakfast,No,Cash discounts,,,Yes,Customized,Facebook,WhatsApp,,"701 - 1,000",Once/twice in 6 months,Cloths,Accessories,Car/Vehicle,500 - 700,Up to 10%,More privacy assurance,,,Maybe,I am more comfortable visiting physically,,,Cannot trust online transaction,,,No,Efficient customer service,,,MaxPay,Cash delivered,,,Male,21-30 years,Millennials,Student,Own Business,Education,Single with no kid,Panchlaish,"50,001-100,000",Emerging,I use internet mainly for socialization
359,,,,,,,,,,Cash discounts,,,Yes,Monthly Limited,Facebook,WhatsApp,,Up to 500,Once a month,Cloths,Electronic gadgets,,"701 - 1,000",Up to 10%,Easy to use mobile app,,,Maybe,No bargaining option,,,Finds it complicated,Poor customer service,,Maybe,Attractive discounts,Last minute deals,,Chime,Concession on the next purchase,Earning credits for future purchase,,Male,31-40 years,Gen X,Student,Not Applicable,Not employed,Single with no kid,Nana Para,"50,001-100,000",Emerging,I like to explore new things
360,Sms,"Yes, but at regular price",Once a month,,,I prefer having tea/coffee,"1,001-2,000",Discount/Offers,"Yes, at a discounted price",Cash discounts,,,Yes,Monthly unlimited,Facebook,WhatsApp,,Up to 500,Once/twice in 6 months,Cloths,Food,,"2,001 - 3,000",Up to 10%,Easy to use mobile app,Longer transaction time-out,,No,No bargaining option,,,Poor customer service,,,Yes,Attractive discounts,,,Chime,Cash delivered,Mobile balance top up,,Male,21-30 years,Millennials,Student,Not Applicable,Not employed,Single with no kid,OR Nizam Road,"200,001-300,000",Affluent,I love the touch and feel of the product while shopping
361,I don't prefer,"Yes, but at regular price",Never,Once/twice in a year,Never,I prefer having some soft drinks with popcorns/French fries,Up to 500,Discount/Offers,No,Cash discounts,,,Yes,Monthly Limited,Facebook,WhatsApp,,"1,001 - 2,000",Never,Cloths,Food,I don't shop online,I don't shop online,I don't shop online,Easy to use mobile app,Longer transaction time-out,,No,No bargaining option,,,Poor customer service,,,Maybe,Attractive discounts,Easy to make payment/Convenient,,PayUp,Cash delivered,,,Male,21-30 years,Millennials,Employed,Private - Not for Profit,Financial Institution,Single with no kid,Chawk Bazar,"50,001-100,000",Emerging,I like to explore new things
362,Email,"Yes, but at regular price",Once/twice in 6 months,Once a month,,I prefer complementary meal/food service,"1,001-2,000",Discount/Offers,"Yes, at regular price",Cash discounts,Mobile Talk time top up,,Yes,Monthly Limited,WhatsApp,Instagram,,"1,001 - 2,000",Once/twice in 6 months,Cloths,Accessories,Electronic gadgets,500 - 700,I don't shop online,,,,Maybe,,,,Can't find what is being looked for,Cannot trust online transaction,,Maybe,Don't have to travel,Easy to make payment/Convenient,Efficient customer service,PayUp,Cash delivered,,,Female,21-30 years,Millennials,Employed,Private - Not for Profit,Sports,Married with more than 1 kid,OR Nizam Road,"200,001-300,000",Affluent,
363,Phone call,"Yes, but at regular price",Once a month,Once a month,,I prefer having some soft drinks with popcorns/French fries,"More than 5,000",Discount/Offers,"Yes, at regular price",Cash discounts,Mobile Talk time top up,,At times,Pay as you go,WhatsApp,Instagram,,"More than 3,000",Once/twice in 6 months,Car/Vehicle,,,"More than 3,000",More than 70%,Higher Transaction Limit,Easy to use mobile app,,Maybe,,,,Can't find what is being looked for,Cannot trust online transaction,,Maybe,Efficient customer service,Attractive discounts,,PayUp,Cash delivered,,,Female,21-30 years,Millennials,Employed,Own Business,Sports,Single with no kid,Halishahar,"100,001-200,000",Established,Shopping online is my passion
364,Email,"Yes, but at regular price",Once/twice in 6 months,Once a month,,I would rather prefer snacks/meal coupon while buying tickets to avoid any hassle,"1,001-2,000",Discount/Offers,"Yes, at regular price",Cash discounts,Mobile Talk time top up,,At times,Pay as you go,WhatsApp,Instagram,,"More than 3,000",Once/twice in 6 months,Car/Vehicle,,,"More than 3,000",More than 70%,Longer transaction time-out,Higher Transaction Limit,Easy to use mobile app,Maybe,,,,Can't find what is being looked for,Finds it complicated,,Maybe,Efficient customer service,Attractive discounts,,PayUp,Cash delivered,,,Female,21-30 years,Millennials,Homemaker,Not Applicable,Doctor,Married with more than 1 kid,Nasirabad,"100,001-200,000",Established,Shopping online is my passion
365,Email,"Yes, but at regular price",Once/twice in 6 months,Once a month,,I prefer complementary meal/food service,"1,001-2,000",Vicinity,"Yes, at regular price",Cash discounts,,,Yes,Monthly Limited,WhatsApp,Instagram,,"2,001 - 3,000",Once/twice in 6 months,Cloths,Accessories,Electronic gadgets,"2,001 - 3,000",I don't shop online,Easy to use mobile app,,,Maybe,I am more comfortable visiting physically,,,Can't find what is being looked for,,,Maybe,Don't have to travel,,,PayUp,Cash delivered,,,Female,21-30 years,Millennials,Student,Not Applicable,Sports,Married with more than 1 kid,OR Nizam Road,"200,001-300,000",Affluent,I use internet mainly for socialization
366,Sms,No,Once/twice in a year,Once/twice in a year,,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Vicinity,"Yes, at regular price",Cash discounts,,,At times,Monthly unlimited,Facebook,WhatsApp,,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,More than 70%,Longer transaction time-out,Easy to use mobile app,,Maybe,I am more comfortable visiting physically,Poor quality of product/service,,Can't find what is being looked for,Cannot trust online transaction,,Maybe,Efficient customer service,Attractive discounts,,MaxPay,Cash delivered,,,Male,31-40 years,Gen X,Employed,Private - For Profit,Education,Married with 1 kid,OR Nizam Road,"50,001-100,000",Emerging,I like to explore new things
367,Sms,"Yes, but at regular price",Once/twice in 6 months,Once/twice in 6 months,,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Vicinity,"Yes, at a discounted price",Cash discounts,Mobile Talk time top up,Cashback offer,At times,Monthly unlimited,Facebook,YouTube,Instagram,"1,001 - 2,000",Once/twice in 6 months,Cloths,Accessories,,"1,001 - 2,000",51-70%,Longer transaction time-out,Easy to use mobile app,,Maybe,I am more comfortable visiting physically,Poor quality of product/service,,Can't find what is being looked for,Cannot trust online transaction,,Maybe,Easy to make payment/Convenient,Efficient customer service,,PayUp,Cash delivered,,,Male,31-40 years,Gen X,Employed,Private - For Profit,Manufacturing,Married with more than 1 kid,Sugandha,"100,001-200,000",Established,I use internet mainly for socialization
368,,,,,,,,,,,,,,,,,,,,,,,,,Call center facilities,Longer transaction time-out,,Maybe,I am more comfortable visiting physically,,,Finds it complicated,,,Maybe,,,,SnapTap,Cash delivered,,,Male,31-40 years,Gen X,Employed,Private - For Profit,Engineer,Single with no kid,Chawk Bazar,"50,001-100,000",Emerging,I like to explore new things
369,Sms,No,Once/twice in 6 months,Once/twice in 6 months,,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",Vicinity,"Yes, at a discounted price",Cash discounts,,,At times,Monthly Limited,Facebook,WhatsApp,,Up to 500,Once/twice in a year,Cloths,Accessories,,"1,001 - 2,000",More than 70%,Easy to use mobile app,,,Maybe,I am more comfortable visiting physically,Poor quality of product/service,,Cannot trust online transaction,,,Yes,Easy to make payment/Convenient,Efficient customer service,,SnapTap,Cash delivered,,,Male,31-40 years,Gen X,Employed,Private - For Profit,Manufacturing,Married with 1 kid,Chawk Bazar,"Up to 50,000",Aspirant,I find adapting to new technology difficult
370,Sms,"Yes, at a discounted price",Never,Once/twice in a year,,I prefer complementary meal/food service,I don't go to movies/sports/events,Vicinity,"Yes, at regular price",Cash discounts,,,Yes,Pay as you go,Facebook,WhatsApp,,"More than 3,000",Once/twice in 6 months,Cloths,Accessories,,"2,001 - 3,000",51-70%,Call center facilities,Longer transaction time-out,,Maybe,I am more comfortable visiting physically,,,Can't find what is being looked for,Finds it complicated,Payment is difficult,Maybe,Easy to make payment/Convenient,Efficient customer service,,PayUp,Cash delivered,,,Male,31-40 years,Gen X,Employed,Own Business,Manufacturing,Married with more than 1 kid,Sugandha,"100,001-200,000",Established,I like to explore new things
371,Website,"Yes, at a premium price",Once a month,Once a month,,I prefer having some light snacks like sandwich,"501-1,000",,"Yes, at regular price",,,,,,,,,,Once/twice in 6 months,Car/Vehicle,,,"More than 3,000",More than 70%,Easy to use mobile app,High mobile optimization,,Yes,,,,Finds it complicated,Less option to choose from,,Yes,Easy to make payment/Convenient,Efficient customer service,,MaxPay,Cash delivered,,,Male,31-40 years,Gen X,Employed,Own Business,Manufacturing,Married with more than 1 kid,Oxygen,"200,001-300,000",Affluent,I find adapting to new technology difficult
372,Sms,"Yes, but at regular price",Never,Once/twice in a year,,I prefer having some soft drinks with popcorns/French fries,"More than 5,000",Vicinity,"Yes, at regular price",Cash discounts,Mobile Talk time top up,,At times,Monthly Limited,Facebook,WhatsApp,,"1,001 - 2,000",Once/twice in 6 months,Cloths,Electronic gadgets,,"2,001 - 3,000",Up to 10%,,,,Maybe,,,,Can't find what is being looked for,Finds it complicated,Payment is difficult,Maybe,Easy to make payment/Convenient,Efficient customer service,,PayUp,Cash delivered,,,Male,31-40 years,Gen X,Employed,Own Business,Manufacturing,Married with more than 1 kid,Sugandha,"100,001-200,000",Established,
373,Phone call,"Yes, but at regular price",Once a month,Twice a month,,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Safety,"Yes, at a discounted price",Cash discounts,Mobile Talk time top up,Internet balance top up,Yes,Monthly Limited,Facebook,YouTube,Instagram,Up to 500,Once/twice in 6 months,Furniture,Car/Vehicle,,"More than 3,000",31-50%,Longer transaction time-out,,,Yes,,,,Can't find what is being looked for,Cannot trust online transaction,,Yes,Don't have to travel,Attractive discounts,,SnapTap,Cash delivered,,,Male,31-40 years,Gen X,Employed,Private - For Profit,Financial Institution,Single with no kid,Oxygen,"50,001-100,000",Emerging,I think online payment system is not secured yet
374,Sms,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in 6 months,,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",Vicinity,,,,,,,,,,,,,,,,,Easy to use mobile app,,,Maybe,Over priced,,,I purchase online,,,Yes,Attractive discounts,Floating deals during off-peak hours,,PayUp,Bank Account,Cash delivered,,Male,41-50 years,Baby Boomers,Self-employed,Own Business,Healthcare,Married with 1 kid,Oxygen,"200,001-300,000",Affluent,I use internet mainly for work/business
375,Sms,"Yes, but at regular price",Once/twice in 6 months,Once/twice in 6 months,,I prefer complementary meal/food service,Up to 500,Discount/Offers,"Yes, at a discounted price",Cash discounts,,,At times,Monthly Limited,WhatsApp,Viber,,"1,001 - 2,000",Once/twice in 6 months,Cloths,Electronic gadgets,,"2,001 - 3,000",Up to 10%,,,,Maybe,,,,Can't find what is being looked for,Finds it complicated,Payment is difficult,Maybe,Easy to make payment/Convenient,Efficient customer service,,PayUp,Cash delivered,,,Male,31-40 years,Gen X,Employed,Own Business,Manufacturing,Single with no kid,Nasirabad,"Up to 50,000",Aspirant,I love the touch and feel of the product while shopping
376,I don't prefer,No,Never,Never,,I prefer having some soft drinks with popcorns/French fries,I don't go to movies/sports/events,Vicinity,"Yes, at regular price",Cash discounts,,,At times,Monthly Limited,Facebook,YouTube,Instagram,500 - 700,Once/twice in a year,Cloths,Accessories,,Up to 500,Up to 10%,Easy to use mobile app,Longer transaction time-out,,No,,,,Can't tell if the product is genuine,,,No,Attractive discounts,Floating deals during off-peak hours,,Chime,Bank Account,Cash delivered,,Female,41-50 years,Baby Boomers,Unemployed,Not Applicable,Not employed,Married with no kids,Chawk Bazar,"200,001-300,000",Affluent,I like to explore new things
377,Phone call,"Yes, at a discounted price",,,,,,Vicinity,No,Cash discounts,,,At times,Customized,YouTube,,,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,,,,No,,,,Can't find what is being looked for,Finds it complicated,Payment is difficult,No,Easy to make payment/Convenient,Efficient customer service,,MaxPay,Cash delivered,,,Male,31-40 years,Gen X,Self-employed,Not Applicable,Manufacturing,Married with more than 1 kid,Oxygen,"100,001-200,000",Established,I use internet mainly for work/business
378,I don't prefer,No,Never,Never,Never,I don't,I don't go to movies/sports/events,Vicinity,No,Cash discounts,Mobile Talk time top up,Coupons,At times,Pay as you go,Facebook,WhatsApp,Imo,Up to 500,Never,I don't shop online,,,I don't shop online,I don't shop online,Easy to use mobile app,Longer transaction time-out,Chatting services,Maybe,User experience (App) was poor,User experience (Web) was poor,,Can't tell if the product is genuine,,,Maybe,Attractive discounts,Last minute deals,,Chime,Bank Account,Cash delivered,,Male,41-50 years,Baby Boomers,Employed,Private - For Profit,Education,Married with no kids,OR Nizam Road,"100,001-200,000",Established,I like to explore new things
379,,,,,,,,Discount/Offers,No,Cash discounts,,,No,Pay as you go,Facebook,WhatsApp,Instagram,"1,001 - 2,000",Never,I don't shop online,,,I don't shop online,I don't shop online,,,,Yes,Over priced,,,Finds it complicated,,,No,Easy to make payment/Convenient,Efficient customer service,,MaxPay,Cash delivered,,,Male,31-40 years,Gen X,Self-employed,Own Business,RMG/Textile,Married with more than 1 kid,Oxygen,"Up to 50,000",Aspirant,I find adapting to new technology difficult
380,,,,,,,,,,,,,,,,,,,Once/twice in 6 months,Cloths,,,500 - 700,11-30%,High Security ,Easy to use mobile app,High mobile optimization,Yes,I find the technology difficult and it will not be easier in the future,,,Can't find what is being looked for,Cannot trust online transaction,Less option to choose from,Maybe,Attractive discounts,,,PayUp,Cash delivered,,,Male,41-50 years,Baby Boomers,Employed,Public,Manufacturing,Single with no kid,Halishahar,"Up to 50,000",Aspirant,I think online payment system is not secured yet
381,Sms,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in 6 months,,I prefer having some soft drinks with popcorns/French fries,"501-1,000",Discount/Offers,"Yes, at a discounted price",Cash discounts,Gifts (Free tickets/food voucher),Internet balance top up,Yes,Monthly Limited,Facebook,WhatsApp,Instagram,Up to 500,Once/twice in 6 months,I don't shop online,,,I don't shop online,I don't shop online,High Security ,Easy to use mobile app,High mobile optimization,Maybe,I find the technology difficult and it will not be easier in the future,Poor customer service,,Payment is difficult,Poor customer service,Less option to choose from,Maybe,Efficient customer service,Don't have to travel,,PayUp,Bank Account,,,Male,31-40 years,Gen X,Employed,Private - For Profit,Financial Institution,Married with 1 kid,OR Nizam Road,"50,001-100,000",Emerging,I like to explore new things
382,Sms,"Yes, at a discounted price",Once/twice in 6 months,Once/twice in 6 months,,I prefer having some soft drinks with popcorns/French fries,"1,001-2,000",Discount/Offers,"Yes, at a discounted price",Cash discounts,Mobile Talk time top up,,At times,Pay as you go,Facebook,WhatsApp,Instagram,Up to 500,Once/twice in 6 months,I don't shop online,,,I don't shop online,I don't shop online,High Security ,Longer transaction time-out,Easy to use mobile app,Maybe,I find the technology difficult and it will not be easier in the future,Poor customer service,Poor quality of product/service,Payment is difficult,Poor customer service,Less option to choose from,Yes,Attractive discounts,,,SnapTap,Cash delivered,,,Male,31-40 years,Gen X,Employed,Private - For Profit,Manufacturing,Married with 1 kid,Chawk Bazar,"Up to 50,000",Aspirant,I love the touch and feel of the product while shopping
383,Phone call,"Yes, but at regular price",Once/twice in 6 months,Once/twice in 6 months,,I prefer complementary meal/food service,I don't go to movies/sports/events,Restaurant availability,"Yes, at regular price",Cash discounts,Mobile Talk time top up,Cashback offer,Yes,Monthly unlimited,Facebook,WhatsApp,Imo,"1,001 - 2,000",Never,Cloths,,,"2,001 - 3,000",I don't shop online,More privacy assurance,High Security ,Higher Transaction Limit,No,It’s not safe to transact online,,,Payment is difficult,Less option to choose from,,Maybe,Easy to make payment/Convenient,Efficient customer service,,PayUp,Cash delivered,,,Male,31-40 years,Gen X,Employed,Own Business,Govt. Agency,Married with more than 1 kid,Sugandha,"100,001-200,000",Established,
384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attractive discounts,Reliable call center service,,SnapTap,Bank Account,Cash delivered,Mobile balance top up,Male,41-50 years,Baby Boomers,Employed,Not Applicable,Financial Institution,Single with no kid,Oxygen,"Up to 50,000",Aspirant,Shopping online is my passion
